Bin,Correlation
20.5,0.273776978170399
21.5,0.2516055450206333
22.5,0.23144525882349662
23.5,0.21415005303375212
24.5,0.19801130572890346
25.5,0.18397494988335047
26.5,0.17230342731193948
27.5,0.15910828242655745
28.5,0.14964079207147052
29.5,0.13939470679180724
30.5,0.13022425160411055
31.5,0.1222216327149772
32.5,0.11439245895749457
33.5,0.10741947782883715
34.5,0.10116604766811066
35.5,0.09546390721810274
36.5,0.08973339257038367
37.5,0.0846588336935734
38.5,0.07962620243148665
39.5,0.07523020837909061
40.5,0.07131968573399948
41.5,0.06696106220190089
42.5,0.06267329067832249
43.5,0.059104396668364444
44.5,0.05563266514410943
45.5,0.05260692854640917
46.5,0.050046463731588345
47.5,0.047596495292345824
48.5,0.04480808656112241
49.5,0.04213711117069181
50.5,0.0399648781956885
51.5,0.037887555565172155
52.5,0.03621889267216984
53.5,0.034528763098215676
54.5,0.03275755710752283
55.5,0.031439433894874504
56.5,0.02972240222610392
57.5,0.028361694207147622
58.5,0.027091532148266463
59.5,0.02552343035263799
60.5,0.024660499442818833
61.5,0.023052581156048874
62.5,0.021970513731633612
63.5,0.02073437519542437
64.5,0.019747702387104993
65.5,0.01866636534758672
66.5,0.01787650677053518
67.5,0.01668299128999586
68.5,0.015919626032421638
69.5,0.014697424957359397
70.5,0.01395561638568297
71.5,0.012893907750672251
72.5,0.012276360348958093
73.5,0.011493606690514876
74.5,0.010904778450946909
75.5,0.010290523939490873
76.5,0.009537037109714078
77.5,0.008979574841484168
78.5,0.008815020818137013
79.5,0.008208892550460593
80.5,0.007955885386243184
81.5,0.00746662000190937
82.5,0.006851373037429382
83.5,0.00659638229787473
84.5,0.005784528043506983
85.5,0.005398966556458258
86.5,0.0049333835935462846
87.5,0.004540534547580886
88.5,0.003965967102168255
89.5,0.00406126173056837
90.5,0.003916626756995485
91.5,0.0032187200762335316
92.5,0.0030277238840956244
93.5,0.002847957897785144
94.5,0.002679817659066495
95.5,0.0026062058268337346
96.5,0.0023197367238490395
97.5,0.0022744007350085963
98.5,0.0020868259700229062
99.5,0.001965626654823969
100.5,0.0018796147859305179
101.5,0.001669360473247918
102.5,0.0015992859637957062
103.5,0.0016957124804519146
104.5,0.0016802070747871218
105.5,0.0015336082763283908
106.5,0.0015395071308380015
107.5,0.0014011129653902733
108.5,0.0012705059521713317
109.5,0.0014275876756371243
110.5,0.0010545672639879313
111.5,0.0011717961436128663
112.5,0.0009668882449055202
113.5,0.0008279991378976871
114.5,0.0006034224344814345
115.5,0.00038614275118699056
116.5,0.00012147146646095626
117.5,-8.392561410736528e-05
118.5,-0.00020727783996481763
119.5,-0.0004332749042668312
120.5,-0.0004622419965826232
121.5,-0.0005495412660255862
122.5,-0.0009283139232697028
123.5,-0.0009840576910127297
124.5,-0.0010255767973637025
125.5,-0.0009563784664610536
126.5,-0.0010386147710490833
127.5,-0.0011892869871923388
128.5,-0.0012701310111242813
129.5,-0.001290227105320631
130.5,-0.0012996057503449321
131.5,-0.0014375057244627406
132.5,-0.0014871940475330277
133.5,-0.0013990724506685323
134.5,-0.0015697410641430688
135.5,-0.0015105214792320732
136.5,-0.00162605423332814
137.5,-0.0015654756519974293
138.5,-0.0017895195909033627
139.5,-0.0016696294784432975
140.5,-0.0015667964848655898
141.5,-0.001819962832443713
142.5,-0.0018842472668457553
143.5,-0.0018029560779751067
144.5,-0.0019679577841143457
145.5,-0.0019172370086648735
146.5,-0.0019979987737318706
147.5,-0.002055497915327496
148.5,-0.001980029387360956
149.5,-0.0022708519213117035
150.5,-0.0023601562974630472
151.5,-0.0024081448266813806
152.5,-0.0027327746156587175
153.5,-0.0027843681627748302
154.5,-0.0028958727580032507
155.5,-0.0031085931947208503
156.5,-0.00306403506942469
157.5,-0.0033068563352743273
158.5,-0.003258802118113138
159.5,-0.0032342827192561575
160.5,-0.003469359893348811
161.5,-0.003663114970566542
162.5,-0.0037537627153165307
163.5,-0.0035422535071792625
164.5,-0.003755059769880039
165.5,-0.003969019632413069
166.5,-0.003945763888039772
167.5,-0.00424079234470735
168.5,-0.00445729344068599
169.5,-0.004707317574747497
170.5,-0.0047612272255605735
171.5,-0.005101786786476955
172.5,-0.005337689903948857
173.5,-0.00554327966260008
174.5,-0.005673785496256404
175.5,-0.006035799487752027
176.5,-0.00617318892015278
177.5,-0.0063322095040386755
178.5,-0.006438059723928161
179.5,-0.00642425093711181
180.5,-0.006798976780849626
181.5,-0.0068352127273743615
182.5,-0.006894024404545953
183.5,-0.00701390876264248
184.5,-0.007069521206637855
185.5,-0.007076752290703283
186.5,-0.007094882346719589
187.5,-0.0071983908382403285
188.5,-0.00699100234023486
189.5,-0.007131094663057045
190.5,-0.007255370121105075
191.5,-0.007275900507203033
192.5,-0.007452782082402911
193.5,-0.007158146697046959
194.5,-0.007256799441536931
195.5,-0.00709113663438808
196.5,-0.007138785311379309
197.5,-0.007182441815366597
198.5,-0.007156442556820455
199.5,-0.007221392497676823
